emp_number,satisfaction_level,last_evaluation,number_of_projects,average_monthly_hours,years_at_company,work_accident,left,promotion_last_5years,department,salary
PC_Analytics_96,0.37,0.51,2,155,3,0,1,0,sales,low
PC_Analytics_97,0.1,0.77,6,265,4,0,1,0,sales,low
PC_Analytics_98,0.1,0.84,6,279,4,0,1,0,sales,low
PC_Analytics_99,0.11,0.97,6,284,4,0,1,0,sales,low
PC_Analytics_100,0.9,1,5,221,6,0,1,0,sales,medium
PC_Analytics_101,0.38,0.52,2,154,3,0,1,0,sales,medium
PC_Analytics_102,0.36,0.52,2,147,3,0,1,0,sales,medium
PC_Analytics_103,0.42,0.46,2,150,3,0,1,0,sales,medium
PC_Analytics_104,0.09,0.94,7,267,4,0,1,0,sales,medium
PC_Analytics_105,0.43,0.52,2,158,3,0,1,0,sales,medium
PC_Analytics_106,0.24,0.46,7,224,5,0,1,0,accounting,medium
PC_Analytics_107,0.91,1,4,257,5,0,1,0,accounting,medium
PC_Analytics_108,0.44,0.5,2,148,3,0,1,0,accounting,medium
PC_Analytics_109,0.71,0.87,3,177,4,0,1,0,hr,medium
PC_Analytics_110,0.4,0.49,2,155,3,0,1,0,hr,medium
PC_Analytics_111,0.43,0.47,2,144,3,0,1,0,hr,medium
PC_Analytics_112,0.09,0.85,6,289,4,0,1,0,hr,high
PC_Analytics_113,0.43,0.52,2,160,3,0,1,0,technical,low
PC_Analytics_114,0.9,0.96,4,258,5,0,1,0,technical,medium
PC_Analytics_115,0.84,1,5,234,5,0,1,0,technical,medium
PC_Analytics_116,0.37,0.48,2,137,3,0,1,0,technical,medium
PC_Analytics_117,0.86,0.68,5,263,2,0,1,0,technical,medium
PC_Analytics_118,0.11,0.84,6,251,4,0,1,0,technical,low
PC_Analytics_119,0.37,0.57,2,133,3,0,1,0,technical,low
PC_Analytics_120,0.4,0.46,2,132,3,0,1,0,technical,low
PC_Analytics_121,0.14,0.62,4,158,4,1,1,0,technical,low
PC_Analytics_122,0.4,0.46,2,135,3,0,1,0,technical,low
PC_Analytics_123,0.75,1,4,216,6,0,1,0,technical,low
PC_Analytics_124,0.11,0.84,6,300,5,1,1,0,support,low
PC_Analytics_125,0.46,0.49,2,138,3,0,1,0,support,low
PC_Analytics_126,0.11,0.92,6,260,4,0,1,0,support,low
PC_Analytics_127,0.38,0.49,2,132,3,0,1,0,support,low
PC_Analytics_128,0.7,0.89,3,183,5,0,1,0,support,low
PC_Analytics_129,0.09,0.82,6,250,4,0,1,0,support,low
PC_Analytics_130,0.37,0.45,2,151,3,0,1,0,support,low
PC_Analytics_131,0.1,0.83,6,292,4,0,1,0,support,low
PC_Analytics_132,0.38,0.57,2,140,3,0,1,0,support,low
PC_Analytics_133,0.9,1,5,221,5,0,1,0,support,low
PC_Analytics_134,0.44,0.51,2,138,3,0,1,0,support,low
PC_Analytics_135,0.36,0.5,2,132,3,0,1,0,technical,low
PC_Analytics_136,0.31,0.84,7,133,5,0,1,0,technical,low
PC_Analytics_137,0.1,0.84,6,283,4,1,1,0,technical,low
PC_Analytics_138,0.42,0.48,2,129,3,0,1,0,management,low
PC_Analytics_139,0.74,1,4,249,5,0,1,0,IT,low
PC_Analytics_140,0.73,0.87,5,257,5,0,1,0,IT,low
PC_Analytics_141,0.09,0.96,6,245,4,0,1,0,IT,low
PC_Analytics_142,0.45,0.53,2,155,3,0,1,0,IT,low
PC_Analytics_143,0.11,0.8,6,256,4,0,1,0,IT,low
PC_Analytics_144,0.37,0.47,2,152,3,0,1,0,product_mng,low
PC_Analytics_145,0.84,0.99,4,267,5,0,1,0,product_mng,low
PC_Analytics_146,0.41,0.46,2,151,3,0,1,0,product_mng,low
PC_Analytics_147,0.76,0.92,4,239,5,0,1,0,product_mng,low
PC_Analytics_148,0.11,0.87,6,306,4,0,1,0,IT,low
PC_Analytics_149,0.84,0.88,4,263,5,1,1,0,marketing,low
PC_Analytics_150,0.39,0.5,2,147,3,0,1,0,marketing,low
PC_Analytics_151,0.11,0.91,6,278,4,0,1,0,marketing,low
PC_Analytics_152,0.45,0.56,2,154,3,0,1,0,marketing,low
PC_Analytics_153,0.37,0.52,2,143,3,0,1,0,marketing,low
PC_Analytics_154,0.4,0.52,2,155,3,0,1,0,marketing,low
PC_Analytics_155,0.39,0.48,2,160,3,0,1,0,sales,low
PC_Analytics_156,0.11,0.8,6,304,4,0,1,0,accounting,low
PC_Analytics_157,0.83,1,5,240,5,0,1,0,support,low
PC_Analytics_158,0.11,0.92,6,305,4,0,1,0,technical,low
PC_Analytics_159,0.39,0.5,2,136,3,0,1,0,management,low
PC_Analytics_160,0.45,0.45,2,132,3,0,1,0,marketing,low
PC_Analytics_161,0.1,0.95,7,301,4,0,1,0,marketing,low
PC_Analytics_162,0.9,0.98,5,243,6,0,1,0,marketing,low
PC_Analytics_163,0.45,0.51,2,147,3,0,1,0,sales,low
PC_Analytics_164,0.79,0.89,5,239,5,0,1,0,sales,low
PC_Analytics_165,0.9,0.99,5,260,5,0,1,0,sales,low
PC_Analytics_166,0.11,0.84,7,296,4,0,1,0,sales,low
PC_Analytics_167,0.43,0.55,2,129,3,0,1,0,sales,low
PC_Analytics_168,0.31,0.54,5,132,5,0,1,0,sales,low
PC_Analytics_169,0.32,0.5,2,135,5,0,1,0,sales,low
PC_Analytics_170,0.45,0.57,2,158,3,0,1,0,sales,low
PC_Analytics_171,0.81,0.99,4,259,5,0,1,0,sales,low
PC_Analytics_172,0.41,0.46,2,160,3,0,1,1,sales,low
PC_Analytics_173,0.11,0.78,7,278,4,0,1,0,sales,low
PC_Analytics_174,0.1,0.88,6,284,4,0,1,0,sales,low
PC_Analytics_175,0.7,0.53,2,274,4,0,1,0,sales,low
PC_Analytics_176,0.54,0.74,4,164,2,0,1,0,sales,low
PC_Analytics_177,0.41,0.48,2,148,3,0,1,0,sales,low
PC_Analytics_178,0.38,0.5,2,140,3,0,1,0,sales,medium
PC_Analytics_179,0.37,0.51,2,127,3,0,1,0,sales,medium
PC_Analytics_180,0.11,0.85,6,308,5,0,1,0,sales,medium
PC_Analytics_181,0.4,0.47,2,146,3,0,1,0,sales,medium
PC_Analytics_182,0.1,0.84,6,261,4,0,1,0,accounting,medium
PC_Analytics_183,0.89,0.99,5,257,5,0,1,0,accounting,medium
PC_Analytics_184,0.11,0.8,6,285,4,0,1,0,accounting,medium
PC_Analytics_185,0.36,0.55,2,141,3,0,1,0,hr,medium
PC_Analytics_186,0.4,0.46,2,127,3,0,1,0,hr,medium
PC_Analytics_187,0.09,0.85,6,297,4,0,1,0,hr,medium
PC_Analytics_188,0.4,0.46,2,143,3,0,1,0,hr,medium
PC_Analytics_189,0.37,0.55,2,152,3,0,1,0,technical,medium
PC_Analytics_190,0.44,0.51,2,156,3,0,1,0,technical,high
PC_Analytics_191,0.09,0.8,7,283,5,0,1,0,technical,low
PC_Analytics_192,0.92,0.87,4,226,6,1,1,0,technical,medium
PC_Analytics_193,0.74,0.91,4,232,5,0,1,0,technical,medium
PC_Analytics_194,0.09,0.82,6,249,4,0,1,0,technical,medium
PC_Analytics_195,0.89,0.95,4,275,5,0,1,0,technical,medium
PC_Analytics_196,0.09,0.8,6,304,4,0,1,0,technical,low
PC_Analytics_197,0.27,0.54,7,278,3,0,1,0,technical,low
PC_Analytics_198,0.1,0.91,6,287,4,0,1,0,technical,low
PC_Analytics_199,0.1,0.89,7,285,4,0,1,0,technical,low
PC_Analytics_200,0.77,0.94,5,226,6,0,1,0,support,low
PC_Analytics_201,0.9,0.82,5,259,5,0,1,0,support,low
PC_Analytics_202,0.39,0.5,2,135,3,0,1,0,support,low
PC_Analytics_203,0.76,1,5,219,5,0,1,0,support,low
PC_Analytics_204,0.1,0.93,6,256,4,0,1,0,support,low
PC_Analytics_205,0.87,0.9,5,254,6,0,1,0,support,low
PC_Analytics_206,0.38,0.5,2,153,3,0,1,0,support,low
PC_Analytics_207,0.77,0.99,5,228,5,0,1,0,support,low
PC_Analytics_208,0.78,0.87,4,228,5,0,1,0,support,low
PC_Analytics_209,0.44,0.5,2,128,3,0,1,0,support,low
PC_Analytics_210,0.38,0.52,2,153,3,0,1,0,support,low
PC_Analytics_211,0.43,0.46,2,156,3,0,1,0,technical,low
PC_Analytics_212,0.39,0.5,4,294,3,0,1,0,technical,low
PC_Analytics_213,0.88,1,5,219,5,0,1,0,technical,low
PC_Analytics_214,0.45,0.46,2,153,3,0,1,0,management,low
PC_Analytics_215,0.4,0.53,2,151,3,0,1,0,IT,low
PC_Analytics_216,0.36,0.51,2,155,3,0,1,0,IT,low
PC_Analytics_217,0.36,0.48,2,158,3,0,1,0,IT,low
PC_Analytics_218,0.9,0.98,5,245,5,0,1,0,IT,low
PC_Analytics_219,0.43,0.53,2,131,3,0,1,0,IT,low
PC_Analytics_220,0.89,0.87,5,225,5,0,1,0,product_mng,low
PC_Analytics_221,0.1,0.84,6,286,4,0,1,0,product_mng,low
PC_Analytics_222,0.37,0.5,2,135,3,0,1,0,product_mng,low
PC_Analytics_223,0.37,0.51,2,153,3,0,1,0,product_mng,low
PC_Analytics_224,0.87,0.9,5,252,5,0,1,0,IT,low
PC_Analytics_225,0.4,0.56,2,149,3,0,1,0,accounting,low
PC_Analytics_226,0.9,0.97,4,258,5,0,1,0,accounting,low
PC_Analytics_227,0.37,0.46,2,158,3,0,1,0,hr,low
PC_Analytics_228,0.44,0.54,2,149,3,0,1,0,hr,low
PC_Analytics_229,0.85,0.95,5,236,5,0,1,0,hr,low
PC_Analytics_230,0.78,0.98,5,239,6,0,1,0,marketing,low
PC_Analytics_231,0.42,0.47,2,159,3,0,1,0,marketing,low
PC_Analytics_232,0.92,0.99,5,255,6,0,1,0,sales,low
PC_Analytics_233,0.11,0.83,6,244,4,0,1,0,accounting,low
PC_Analytics_234,0.42,0.56,2,134,3,0,1,0,support,low
PC_Analytics_235,0.48,0.57,4,270,4,0,1,0,technical,low
PC_Analytics_236,0.83,0.85,4,255,5,0,1,0,management,low
PC_Analytics_237,0.4,0.53,2,151,3,0,1,0,marketing,low
PC_Analytics_238,0.43,0.45,2,135,3,0,1,0,marketing,low
PC_Analytics_239,0.43,0.53,2,146,3,0,1,0,marketing,low
PC_Analytics_240,0.1,0.97,7,254,4,0,1,0,sales,low
PC_Analytics_241,0.1,0.87,7,289,4,0,1,0,sales,low
PC_Analytics_242,0.37,0.46,2,156,3,0,1,0,sales,low
PC_Analytics_243,0.38,0.53,2,156,3,0,1,0,sales,low
PC_Analytics_244,0.4,0.5,2,128,3,0,1,0,sales,low
PC_Analytics_245,0.89,0.86,5,275,5,0,1,0,sales,low
PC_Analytics_246,0.45,0.46,2,155,3,0,1,0,sales,low
PC_Analytics_247,0.37,0.48,2,159,3,0,1,0,sales,low
PC_Analytics_248,0.46,0.49,2,148,3,0,1,0,sales,low
PC_Analytics_249,0.87,0.91,4,228,5,0,1,0,sales,low
PC_Analytics_250,0.11,0.84,6,298,4,0,1,0,sales,low
PC_Analytics_251,0.79,0.87,5,261,5,0,1,0,sales,low
PC_Analytics_252,0.79,0.92,5,254,6,0,1,0,sales,low
PC_Analytics_253,0.19,0.59,7,192,3,0,1,0,sales,low
PC_Analytics_254,0.87,0.98,4,248,5,0,1,0,sales,low
PC_Analytics_255,0.6,0.92,2,258,5,0,1,0,sales,low
PC_Analytics_256,0.44,0.45,2,156,3,0,1,0,sales,medium
PC_Analytics_257,0.11,0.81,6,266,4,1,1,0,sales,medium
PC_Analytics_258,0.42,0.54,2,156,3,0,1,0,sales,medium
PC_Analytics_259,0.88,0.88,5,232,5,1,1,0,accounting,medium
PC_Analytics_260,0.11,0.84,6,287,4,0,1,0,accounting,medium
PC_Analytics_261,0.46,0.46,2,154,3,0,1,0,accounting,medium
PC_Analytics_262,0.82,0.97,5,263,5,0,1,0,hr,medium
PC_Analytics_263,0.44,0.56,2,131,3,0,1,0,hr,medium
PC_Analytics_264,0.11,0.78,6,260,4,0,1,0,hr,medium
PC_Analytics_265,0.42,0.5,2,139,3,0,1,0,hr,medium
PC_Analytics_266,0.84,0.93,4,251,5,0,1,0,technical,medium
PC_Analytics_267,0.11,0.95,6,286,4,0,1,0,technical,medium
PC_Analytics_268,0.45,0.53,2,129,3,0,1,0,technical,high
PC_Analytics_269,0.38,0.56,2,156,3,0,1,0,technical,low
PC_Analytics_270,0.38,0.86,6,139,6,0,1,0,technical,medium
PC_Analytics_271,0.44,0.51,2,127,3,0,1,0,technical,medium
PC_Analytics_272,0.11,0.84,6,251,4,0,1,0,technical,medium
PC_Analytics_273,0.81,0.93,5,270,5,0,1,0,technical,medium
PC_Analytics_274,0.09,0.96,6,296,4,0,1,0,technical,low
PC_Analytics_275,0.11,0.9,6,254,4,0,1,0,technical,low
PC_Analytics_276,0.81,0.95,5,238,6,0,1,0,technical,low
PC_Analytics_277,0.1,0.97,6,267,4,1,1,0,support,low
PC_Analytics_278,0.74,0.89,5,229,6,0,1,0,support,low
PC_Analytics_279,0.09,0.78,6,254,4,0,1,0,support,low
PC_Analytics_280,0.82,0.81,4,233,4,1,1,0,support,low
PC_Analytics_281,0.1,0.98,6,268,4,0,1,0,support,low
PC_Analytics_282,0.27,0.56,3,301,3,0,1,0,support,low
PC_Analytics_283,0.83,0.92,5,267,6,0,1,0,support,low
PC_Analytics_284,0.1,0.93,6,289,4,1,1,0,support,low
PC_Analytics_285,0.38,0.47,2,144,3,0,1,0,support,low
PC_Analytics_286,0.4,0.56,2,148,3,0,1,0,support,low
PC_Analytics_287,0.11,0.83,6,306,4,0,1,0,support,low
PC_Analytics_288,0.11,0.79,6,292,4,0,1,1,technical,low
PC_Analytics_289,0.82,0.91,5,232,5,0,1,0,technical,low
PC_Analytics_290,0.36,0.48,2,137,3,0,1,0,technical,low
PC_Analytics_291,0.4,0.46,2,128,3,0,1,0,management,low
PC_Analytics_292,0.87,0.84,5,231,5,0,1,0,IT,low
PC_Analytics_293,0.41,0.49,2,146,3,0,1,0,IT,low
PC_Analytics_294,0.11,0.91,6,308,4,1,1,0,IT,low
PC_Analytics_295,0.1,0.93,6,253,4,0,1,0,IT,medium
PC_Analytics_296,0.38,0.51,2,146,3,0,1,0,IT,medium
PC_Analytics_297,0.39,0.55,2,156,3,0,1,0,product_mng,medium
PC_Analytics_298,0.4,0.52,2,147,3,0,1,0,product_mng,medium
PC_Analytics_299,0.45,0.48,2,136,3,0,1,0,product_mng,medium
PC_Analytics_300,0.74,0.84,5,249,5,0,1,0,product_mng,medium
PC_Analytics_301,0.45,0.55,2,151,3,0,1,0,IT,medium
PC_Analytics_302,0.12,1,3,278,4,0,1,0,RandD,medium
PC_Analytics_303,0.1,0.77,7,250,5,0,1,0,RandD,medium
PC_Analytics_304,0.37,0.55,2,127,3,0,1,0,RandD,medium
PC_Analytics_305,0.89,0.87,5,255,5,0,1,0,RandD,medium
PC_Analytics_306,0.45,0.47,2,135,3,0,1,0,RandD,medium
PC_Analytics_307,0.37,0.46,2,149,3,0,1,0,marketing,high
PC_Analytics_308,0.11,0.81,5,287,4,0,1,0,sales,low
PC_Analytics_309,0.41,0.48,2,145,3,0,1,0,accounting,medium
PC_Analytics_310,0.1,0.94,6,285,4,0,1,0,support,medium
PC_Analytics_311,0.1,0.93,7,305,4,0,1,0,technical,medium
PC_Analytics_312,0.11,0.95,7,300,4,0,1,0,management,medium
PC_Analytics_313,0.4,0.54,2,139,3,0,1,0,marketing,low
PC_Analytics_314,0.41,0.49,2,130,3,0,1,0,marketing,low
PC_Analytics_315,0.1,0.81,6,268,4,0,1,0,marketing,low
PC_Analytics_316,0.73,0.86,4,245,6,0,1,0,sales,low
PC_Analytics_317,0.43,0.47,2,135,3,0,1,0,sales,low
PC_Analytics_318,0.37,0.46,2,153,3,0,1,0,sales,low
PC_Analytics_319,0.11,0.94,6,276,4,0,1,0,sales,low
PC_Analytics_320,0.4,0.46,2,130,3,0,1,0,sales,low
PC_Analytics_321,0.41,0.54,2,153,3,1,1,0,sales,low
PC_Analytics_322,0.82,0.84,5,244,5,0,1,0,sales,low
PC_Analytics_323,0.61,0.47,2,253,3,0,1,0,sales,low
PC_Analytics_324,0.11,0.91,7,287,4,0,1,0,sales,low
PC_Analytics_325,0.37,0.45,2,131,3,0,1,0,sales,low
PC_Analytics_326,0.41,0.52,2,135,3,0,1,0,sales,low
PC_Analytics_327,0.37,0.52,2,157,3,0,1,0,sales,low
PC_Analytics_328,0.88,0.99,5,262,6,0,1,0,sales,low
PC_Analytics_329,0.1,0.85,6,266,4,0,1,0,sales,low
PC_Analytics_330,0.44,0.48,2,148,3,0,1,0,sales,low
PC_Analytics_331,0.38,0.57,2,140,3,0,1,0,sales,low
PC_Analytics_332,0.11,0.85,7,302,4,0,1,0,sales,low
PC_Analytics_333,0.09,0.98,6,271,4,0,1,0,sales,low
PC_Analytics_334,0.45,0.52,2,145,3,0,1,0,sales,medium
PC_Analytics_335,0.1,0.81,6,290,4,0,1,0,accounting,medium
PC_Analytics_336,0.45,0.47,2,151,3,0,1,0,accounting,medium
PC_Analytics_337,0.77,0.87,5,266,5,0,1,0,accounting,medium
PC_Analytics_338,0.44,0.51,2,140,3,0,1,0,hr,medium
PC_Analytics_339,0.39,0.5,2,142,3,0,1,0,hr,medium
PC_Analytics_340,0.1,0.91,6,246,4,0,1,0,hr,medium
PC_Analytics_341,0.09,0.89,7,308,5,0,1,0,hr,medium
PC_Analytics_342,0.37,0.47,2,141,3,0,1,0,technical,medium
PC_Analytics_343,0.9,1,5,232,5,0,1,0,technical,medium
PC_Analytics_344,0.41,0.56,2,143,3,0,1,0,technical,medium
PC_Analytics_345,0.37,0.52,2,155,3,0,1,0,technical,medium
PC_Analytics_346,0.1,0.86,6,278,4,0,1,0,technical,high
PC_Analytics_347,0.81,1,4,253,5,0,1,0,technical,low
PC_Analytics_348,0.11,0.8,6,282,4,0,1,0,technical,medium
PC_Analytics_349,0.11,0.84,7,264,4,0,1,0,technical,medium
PC_Analytics_350,0.4,0.46,2,149,3,0,1,0,technical,medium
PC_Analytics_351,0.09,0.8,6,304,5,0,1,0,technical,medium
PC_Analytics_352,0.48,0.93,3,219,6,0,1,0,technical,low
PC_Analytics_353,0.91,0.91,4,262,6,0,1,0,support,low
PC_Analytics_354,0.43,0.57,2,135,3,0,1,0,support,low
PC_Analytics_355,0.33,0.88,6,219,5,0,1,0,support,low
PC_Analytics_356,0.41,0.57,2,136,3,0,1,0,support,low
PC_Analytics_357,0.41,0.55,2,154,3,0,1,0,support,low
PC_Analytics_358,0.37,0.54,2,149,3,0,1,0,support,low
PC_Analytics_359,0.31,0.62,6,135,5,0,1,0,support,low
PC_Analytics_360,0.09,0.91,6,275,4,0,1,0,support,low
PC_Analytics_361,0.1,0.87,6,290,4,0,1,0,support,low
PC_Analytics_362,0.76,0.9,4,263,5,0,1,0,support,low
PC_Analytics_363,0.41,0.54,2,145,3,0,1,0,support,low
PC_Analytics_364,0.72,0.96,5,267,5,0,1,0,technical,low
PC_Analytics_365,0.4,0.5,2,141,3,1,1,0,technical,low
PC_Analytics_366,0.91,0.87,4,235,5,0,1,0,technical,low
PC_Analytics_367,0.1,0.83,6,258,4,0,1,0,management,low
PC_Analytics_368,0.4,0.56,2,131,3,0,1,0,IT,low
PC_Analytics_369,0.82,0.86,5,243,5,0,1,0,IT,low
PC_Analytics_370,0.1,0.82,6,266,4,0,1,0,IT,low
PC_Analytics_371,0.37,0.45,2,142,3,0,1,0,IT,low
PC_Analytics_372,0.36,0.51,2,135,3,0,1,0,IT,low
PC_Analytics_373,0.39,0.48,2,141,3,0,1,0,product_mng,medium
PC_Analytics_374,0.36,0.57,2,142,3,0,1,0,product_mng,medium
PC_Analytics_375,0.86,0.84,5,254,5,0,1,0,product_mng,medium
PC_Analytics_376,0.73,0.99,5,262,5,0,1,0,product_mng,medium
PC_Analytics_377,0.56,0.71,4,296,2,0,1,0,IT,medium
PC_Analytics_378,0.44,0.56,2,158,3,0,1,0,accounting,medium
PC_Analytics_379,0.31,0.56,4,238,2,0,1,0,accounting,medium
PC_Analytics_380,0.77,0.93,4,231,5,0,1,0,hr,medium
PC_Analytics_381,0.44,0.45,2,156,3,0,1,0,hr,medium
PC_Analytics_382,0.38,0.46,2,145,3,0,1,0,hr,medium
PC_Analytics_383,0.45,0.48,2,144,3,0,1,0,marketing,medium
PC_Analytics_384,0.38,0.51,2,159,3,0,1,0,sales,medium
PC_Analytics_385,0.36,0.48,2,156,3,0,1,0,accounting,high
PC_Analytics_386,0.75,0.9,5,256,5,0,1,0,support,low
PC_Analytics_387,0.1,0.93,6,298,4,0,1,0,technical,medium
PC_Analytics_388,0.1,0.97,6,247,4,0,1,0,management,medium
PC_Analytics_389,0.45,0.5,2,157,3,0,1,0,marketing,medium
PC_Analytics_390,0.42,0.57,2,154,3,1,1,0,marketing,medium
PC_Analytics_391,0.78,1,4,253,5,0,1,0,marketing,low
PC_Analytics_392,0.45,0.55,2,148,3,0,1,0,sales,low
PC_Analytics_393,0.84,1,4,261,5,0,1,0,sales,low
