Age,Age (group),Department,Disability Status,Education-1,Ethnicity,Gender Updated,Info,Job Satisfaction,Job Satisfaction ,Years At Company (group),Years At Company (group) (copy),Employee Count,Monthly Income,Training Times Last Year,Years At Company
24,16-25,Research & Development,Disabled,Associate,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,4011,5,4
36,26-40,Sales,Not Declared,Manager,Black or African American,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,3407,4,5
34,26-40,Research & Development,Not Disabled,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,11-15 Years,Nov-15,1,11994,4,12
21,16-25,Research & Development,Not Disabled,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,1232,6,0
34,26-40,Research & Development,Not Disabled,Mid-Level,Black or African American,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,2960,2,4
53,41-55,Research & Development,Not Disabled,Senior - Proffessional,Hispanic or Latino,Non-Binary,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,11-15 Years,Nov-15,1,19094,3,14
32,26-40,Research & Development,Prefer not to say,Mid-Level,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,6-10 Years,06-Oct,1,3919,5,10
42,41-55,Sales,Not Disabled,Manager,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,6-10 Years,06-Oct,1,6825,2,9
44,41-55,Research & Development,Not Declared,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,21+ Years,21+,1,10248,4,22
46,41-55,Sales,Not Disabled,Manager,White,Non-Binary,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,18947,2,2
33,26-40,Research & Development,Not Disabled,Senior - Proffessional,Hispanic or Latino,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2496,3,1
44,41-55,Research & Development,Not Disabled,Manager,Black or African American,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,6465,5,4
30,26-40,Research & Development,Not Declared,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,6-10 Years,06-Oct,1,2206,5,10
39,26-40,Sales,Not Disabled,Senior - Proffessional,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2086,6,1
24,16-25,Research & Development,Not Disabled,Senior - Proffessional,Black or African American,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2293,2,2
43,41-55,Research & Development,Disabled,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,2645,3,5
50,41-55,Sales,Not Declared,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,2683,2,3
35,26-40,Sales,Not Disabled,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2014,3,2
36,26-40,Research & Development,Not Declared,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,3419,3,1
33,26-40,Sales,Disabled,Senior - Proffessional,Black or African American,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,5376,3,5
35,26-40,Research & Development,Not Disabled,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,1951,3,1
27,26-40,Research & Development,Not Disabled,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,2341,6,1
26,26-40,Research & Development,Prefer not to say,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,2293,2,1
27,26-40,Sales,Not Disabled,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,6-10 Years,06-Oct,1,8726,0,9
30,26-40,Research & Development,Not Disabled,Associate,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,11-15 Years,Nov-15,1,4011,2,12
41,41-55,Research & Development,Not Disabled,Senior - Proffessional,White,Non-Binary,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,21+ Years,21+,1,19545,0,22
34,26-40,Sales,Not Disabled,Manager,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,6-10 Years,06-Oct,1,4568,2,9
37,26-40,Research & Development,Not Disabled,Associate,Hispanic or Latino,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,0-5 Years,0-5,1,3022,1,1
46,41-55,Sales,Not Disabled,Manager,Hispanic or Latino,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,6-10 Years,06-Oct,1,5772,4,9
35,26-40,Research & Development,Disabled,Mid-Level,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2269,2,1
48,41-55,Research & Development,Not Declared,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,5381,2,1
28,26-40,Research & Development,Not Disabled,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,3441,3,2
44,41-55,Sales,Not Disabled,Senior Manager,All Other Races,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,5454,2,4
35,26-40,Research & Development,Not Declared,Associate,Black or African American,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,9884,3,4
26,26-40,Sales,Not Declared,Senior - Proffessional,Black or African American,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,4157,2,2
33,26-40,Research & Development,Not Disabled,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,11-15 Years,Nov-15,1,13458,1,15
35,26-40,Sales,Not Disabled,Senior Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,6-10 Years,06-Oct,1,9069,3,9
35,26-40,Research & Development,Not Disabled,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,4014,3,2
31,26-40,Research & Development,Not Disabled,Manager,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,6-10 Years,06-Oct,1,5915,3,7
37,26-40,Research & Development,Not Declared,Manager,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,6-10 Years,06-Oct,1,5993,2,7
32,26-40,Research & Development,Not Disabled,Senior - Proffessional,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,6-10 Years,06-Oct,1,6162,3,9
38,26-40,Research & Development,Not Disabled,Senior Manager,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,6-10 Years,06-Oct,1,2406,2,10
50,41-55,Research & Development,Not Declared,Associate,All Other Races,Non-Binary,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,21+ Years,21+,1,18740,2,27
59,55+,Sales,Not Disabled,Senior - Proffessional,Black or African American,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,21+ Years,21+,1,7637,3,21
36,26-40,Research & Development,Not Disabled,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,16-20 Years,16-20,1,10096,2,17
55,41-55,Research & Development,Not Disabled,Senior - Proffessional,Black or African American,Prefer not to say,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,14756,2,5
36,26-40,Research & Development,Not Declared,Senior - Proffessional,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,6-10 Years,06-Oct,1,6499,3,6
45,41-55,Research & Development,Not Disabled,Senior - Proffessional,Black or African American,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,9724,2,1
35,26-40,Research & Development,Not Disabled,Senior - Proffessional,Hispanic or Latino,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,2194,2,3
36,26-40,Research & Development,Not Declared,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,3388,0,1
59,55+,Sales,Not Declared,Mid-Level,Black or African American,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,5473,2,4
29,26-40,Research & Development,Not Disabled,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,0-5 Years,0-5,1,2703,3,5
31,26-40,Research & Development,Not Disabled,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,0-5 Years,0-5,1,2501,4,1
32,26-40,Research & Development,Not Disabled,Senior - Proffessional,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,6-10 Years,06-Oct,1,6220,3,10
36,26-40,Research & Development,Disabled,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,3038,3,1
31,26-40,Research & Development,Not Disabled,Manager,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,11-15 Years,Nov-15,1,4424,2,11
35,26-40,Sales,Not Declared,Manager,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,11-15 Years,Nov-15,1,4312,2,15
45,41-55,Research & Development,Not Disabled,Manager,Hispanic or Latino,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,13245,3,0
37,26-40,Research & Development,Not Disabled,Manager,Hispanic or Latino,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,13664,3,5
46,41-55,Human Resources,Not Disabled,Associate,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,0-5 Years,0-5,1,5021,2,4
30,26-40,Research & Development,Not Declared,Mid-Level,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,6-10 Years,06-Oct,1,5126,1,10
35,26-40,Research & Development,Not Declared,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,6-10 Years,06-Oct,1,2859,3,6
55,41-55,Sales,Not Disabled,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,10239,4,1
38,26-40,Research & Development,Prefer not to say,Senior - Proffessional,Black or African American,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,11-15 Years,Nov-15,1,5329,3,13
