uid,datetime,latitude,longitude,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,MOTORIST INJURED,MOTORIST KILLED,PEDESTRIANS KILLED,CYCLIST KILLED,CYCLIST INJURED,PEDESTRIANS INJURED,Total Victim,Injured,Killed
14,1/2/2018 5:13,-1.310656658,36.80548061,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,6,0,0,0,0,0,6,6,0
15,1/2/2018 5:28,-1.188841411,36.9313708,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Bus,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,2,0,0,3,6,4,2
16,1/2/2018 7:23,-1.264331136,36.74698435,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,6,0,0,0,0,0,6,6,0
17,1/2/2018 7:25,-1.264266609,36.74698523,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,6,0,0,0,0,0,6,6,0
18,1/2/2018 7:34,-1.32983701,36.8558095,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,TAXI,Taxi,6,0,0,0,0,0,6,6,0
19,1/2/2018 7:34,-1.264331136,36.74698435,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,5,0,0,0,1,0,6,6,0
20,1/2/2018 7:37,-1.264131629,36.75425288,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,van,PASSENGER VEHICLE,4,0,0,0,0,1,5,5,0
21,1/2/2018 7:38,-1.264331136,36.74698435,Brakes Defective,Other Vehicular,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,Taxi,PASSENGER VEHICLE,Taxi,5,0,0,0,0,0,5,5,0
22,1/2/2018 7:41,-1.264100378,36.7542523,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,5,0,0,0,0,0,5,5,0
23,1/2/2018 7:54,-1.264331136,36.74698435,Alcohol Involvement,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,PASSENGER VEHICLE,PASSENGER VEHICLE,Pick-up Truck,PASSENGER VEHICLE,PASSENGER VEHICLE,5,0,0,0,0,0,5,5,0
24,1/2/2018 8:25,-1.264331136,36.74698435,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,5,0,0,0,0,0,5,5,0
25,1/2/2018 9:36,-1.167284011,36.825383,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,5,0,0,0,0,0,5,5,0
26,1/2/2018 10:14,-1.484648409,37.1370319,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Bus,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,5,0,0,0,0,0,5,5,0
27,1/2/2018 11:40,-0.783330013,37.1,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,5,0,0,0,0,0,5,5,0
28,1/2/2018 11:43,-1.119072512,36.618408,Other Vehicular,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,5,0,0,0,0,0,5,5,0
29,1/2/2018 12:53,-1.287083811,36.8182647,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan,5,0,0,0,0,0,5,5,0
30,1/2/2018 12:54,-1.328522403,36.88078002,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,5,0,0,0,0,0,5,5,0
31,1/2/2018 13:14,-1.292287874,36.84238844,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Bus,5,0,0,0,0,0,5,5,0
32,1/2/2018 13:16,-1.328340762,36.88115991,Driver Inattention/Distraction,Following Too Closely,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Sedan,5,0,0,0,0,0,5,5,0
33,1/2/2018 13:54,-1.32619741,36.88110027,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,Unspecified,LIVERY VEHICLE,Taxi,Taxi,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,5,0,0,0,0,0,5,5,0
34,1/2/2018 14:10,-1.483135622,37.04828447,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,4,1,0,0,0,0,5,4,1
35,1/2/2018 14:17,-1.170689411,36.9722933,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,5,0,0,0,0,0,5,5,0
36,1/2/2018 14:41,-1.32619741,36.88110027,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,5,0,0,0,0,0,5,5,0
37,1/2/2018 15:00,-1.32619741,36.88110027,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,5,0,0,0,0,0,5,5,0
38,1/2/2018 15:03,-1.328156511,36.870764,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,5,0,0,0,0,0,5,5,0
39,1/2/2018 15:39,-1.484648409,37.1370319,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,5,0,0,0,0,0,5,5,0
40,1/2/2018 16:55,-1.262368011,36.87908667,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,TAXI,SPORT UTILITY / STATION WAGON,4,0,0,0,0,0,4,4,0
41,1/3/2018 0:46,-1.461073585,36.96393181,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,BU,0,0,0,1,3,0,4,3,1
42,1/3/2018 1:58,-1.284649377,36.82090224,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,4,0,0,0,0,0,4,4,0
43,1/3/2018 2:19,-1.28470481,36.82090359,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Bus,3,1,0,0,0,0,4,3,1
44,1/3/2018 2:19,-1.273061112,36.8129184,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,4,0,0,0,0,0,4,4,0
45,1/3/2018 2:22,-1.284783937,36.82037419,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,4,0,0,0,0,0,4,4,0
46,1/3/2018 2:44,-1.283529515,36.82372755,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,4,0,0,0,0,0,4,4,0
47,1/3/2018 2:47,-1.283529515,36.82372755,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Box Truck,Box Truck,Sedan,Sedan,4,0,0,0,0,0,4,4,0
48,1/3/2018 3:00,-1.288409011,36.828176,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,4,0,0,0,0,0,4,4,0
49,1/3/2018 3:03,-1.283663865,36.82260816,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,4,0,0,0,0,0,4,4,0
50,1/3/2018 3:09,-1.310759011,36.7997843,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,4,0,0,0,0,0,4,4,0
51,1/3/2018 3:13,-1.31659931,36.83381615,Prescription Medication,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,4,0,0,0,0,0,4,4,0
52,1/3/2018 3:17,-1.283663865,36.82260816,Prescription Medication,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,4,0,0,0,0,0,4,4,0
53,1/3/2018 3:33,-1.284829594,36.82137962,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,4,0,0,0,0,0,4,4,0
54,1/3/2018 3:58,-1.290813911,36.8215571,Other Vehicular,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,4,0,0,0,0,0,4,4,0
55,1/3/2018 4:07,-1.31659931,36.83381615,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,4,0,0,0,0,0,4,4,0
56,1/3/2018 4:18,-1.299698643,36.80728914,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,4,0,0,0,0,0,4,4,0
57,1/3/2018 4:19,-1.284806532,36.82032524,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,4,0,0,0,0,0,4,4,0
58,1/3/2018 4:20,-1.45103491,36.987778,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,4,0,0,0,0,0,4,4,0
59,1/3/2018 4:45,-1.290813911,36.8215571,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,3,0,0,0,0,1,4,4,0
60,1/3/2018 5:09,-1.328340762,36.88115991,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,4,0,0,0,0,0,4,4,0
61,1/3/2018 5:10,-1.270195511,36.9198722,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,4,0,0,0,0,0,4,4,0
62,1/3/2018 5:10,-1.270195511,36.9198722,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,4,0,0,0,0,0,4,4,0
63,1/3/2018 5:20,-1.328340762,36.88115991,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan,4,0,0,0,0,0,4,4,0
64,1/3/2018 5:28,-1.328340762,36.88115991,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,4,0,0,0,0,0,4,4,0
65,1/3/2018 5:31,-1.32619741,36.88110027,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,4,0,0,0,0,0,4,4,0
66,1/3/2018 5:49,-1.329198392,36.87451745,Outside Car Distraction,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,3,0,0,0,0,1,4,4,0
67,1/3/2018 5:54,-1.32856016,36.880783,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,4,0,0,0,0,0,4,4,0
68,1/3/2018 6:27,-1.328340762,36.88115991,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,3,1,0,0,0,0,4,3,1
69,1/3/2018 6:37,-1.288529105,36.82744801,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,4,0,0,0,0,0,4,4,0
70,1/3/2018 7:14,-1.39570413,36.94089234,Traffic Control Device Improper/Non-Working,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,4,0,0,0,0,0,4,4,0
71,1/3/2018 7:18,-1.285947933,36.81919799,Traffic Control Device Improper/Non-Working,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,3,0,1,0,0,0,4,3,1
72,1/3/2018 8:13,-1.283567745,36.82366407,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan,4,0,0,0,0,0,4,4,0
73,1/3/2018 8:14,-1.283663865,36.82260816,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,4,0,0,0,0,0,4,4,0
74,1/3/2018 8:24,-1.20557251,36.9174398,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Tractor Truck Diesel,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Sedan,4,0,0,0,0,0,4,4,0
75,1/3/2018 9:40,-1.203570211,36.9158261,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,FB,BU,BICYCLE,BICYCLE,BICYCLE,4,0,0,0,0,0,4,4,0
76,1/3/2018 10:01,-1.280408011,36.818571,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,4,0,0,0,0,0,4,4,0
77,1/3/2018 10:14,-1.310759011,36.7997843,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,4,0,0,0,0,0,4,4,0
78,1/3/2018 10:44,-1.282308071,36.7827327,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,2,0,0,0,1,1,4,4,0
79,1/3/2018 12:12,-1.491223837,37.05724895,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,4,0,0,0,0,0,4,4,0
80,1/3/2018 12:53,-1.309348207,36.82880967,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,3,0,0,0,0,1,4,4,0
81,1/3/2018 13:04,-1.278949978,36.90717917,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,4,0,0,0,0,0,4,4,0
82,1/3/2018 13:25,-1.301302611,36.8209033,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,3,0,0,0,0,0,3,3,0
83,1/3/2018 16:05,-1.31538281,36.89460495,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,Taxi,3,0,0,0,0,0,3,3,0
84,1/4/2018 1:12,-1.233801613,36.87316981,Other Vehicular,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,3,0,0,0,0,0,3,3,0
85,1/4/2018 2:27,-1.267441435,36.8355184,Prescription Medication,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,3,0,0,0,0,0,3,3,0
86,1/4/2018 3:06,-1.264331136,36.74698435,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Tractor Truck Diesel,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Sedan,3,0,0,0,0,0,3,3,0
87,1/4/2018 4:56,-1.259876321,36.78647408,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,3,0,0,0,0,0,3,3,0
88,1/4/2018 6:06,-1.282989911,36.8347237,Brakes Defective,Other Vehicular,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,Taxi,PASSENGER VEHICLE,Taxi,3,0,0,0,0,0,3,3,0
89,1/4/2018 7:50,-1.280089711,36.8485277,Prescription Medication,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,3,0,0,0,0,0,3,3,0
90,1/4/2018 7:58,-1.310759011,36.7997843,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,3,0,0,0,0,0,3,3,0
91,1/4/2018 11:49,-1.196763377,36.90056696,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,3,0,0,0,0,0,3,3,0
92,1/4/2018 11:54,-1.217198994,36.89144074,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,3,0,0,0,0,0,3,3,0
93,1/4/2018 13:03,-1.286987311,36.7424011,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,Taxi,3,0,0,0,0,0,3,3,0
94,1/4/2018 13:06,-1.312461883,36.83022268,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,3,0,0,0,0,0,3,3,0
95,1/4/2018 13:39,-1.259710011,36.786735,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,3,0,0,0,0,0,3,3,0
